claim_id,tier,outcome,turnaround_hours
CLM-001301,Amber,Human review,66.1
CLM-001302,Amber,Human review,32.7
CLM-001303,Green,Auto-approved,0.7
CLM-001304,Green,Auto-approved,0.9
CLM-001305,Green,Auto-approved,0.9
CLM-001306,Amber,Human review,47.1
CLM-001307,Green,Auto-approved,0.6
CLM-001308,Amber,Human review,78.8
CLM-001309,Red,SIU referral,339.6
CLM-001310,Green,Auto-approved,0.6
CLM-001311,Green,Auto-approved,1.4
CLM-001312,Green,Auto-approved,3.9
CLM-001313,Amber,Human review,58.2
CLM-001314,Green,Auto-approved,1.2
CLM-001315,Green,Auto-approved,2.1
CLM-001316,Amber,Human review,86.5
CLM-001317,Amber,Human review,36.7
CLM-001318,Green,Auto-approved,1.1
CLM-001319,Green,Auto-approved,1.2
CLM-001320,Green,Auto-approved,3.6
CLM-001321,Green,Auto-approved,3.3
CLM-001322,Green,Auto-approved,0.5
CLM-001323,Amber,Human review,59.7
CLM-001324,Green,Auto-approved,3.4
CLM-001325,Amber,Human review,78.8
CLM-001326,Amber,Human review,37.0
CLM-001327,Amber,Human review,47.7
CLM-001328,Amber,Human review,81.7
CLM-001329,Amber,Human review,86.9
CLM-001330,Amber,Human review,87.7
CLM-001331,Green,Auto-approved,3.1
CLM-001332,Amber,Human review,66.4
CLM-001333,Green,Auto-approved,1.5
CLM-001334,Green,Auto-approved,3.3
CLM-001335,Green,Auto-approved,2.7
CLM-001336,Green,Auto-approved,2.8
CLM-001337,Amber,Human review,30.6
CLM-001338,Amber,Human review,31.5
CLM-001339,Amber,Human review,39.2
CLM-001340,Green,Auto-approved,2.6
CLM-001341,Green,Auto-approved,3.4
CLM-001342,Amber,Human review,43.2
CLM-001343,Red,SIU referral,260.3
CLM-001344,Amber,Human review,40.2
CLM-001345,Amber,Human review,76.9
CLM-001346,Green,Auto-approved,2.1
CLM-001347,Green,Auto-approved,0.9
CLM-001348,Amber,Human review,94.1
CLM-001349,Amber,Human review,49.9
CLM-001350,Green,Auto-approved,2.4
CLM-001351,Amber,Human review,91.0
CLM-001352,Green,Auto-approved,1.6
CLM-001353,Green,Auto-approved,2.5
CLM-001354,Green,Auto-approved,2.4
CLM-001355,Amber,Human review,76.9
CLM-001356,Red,SIU referral,343.2
CLM-001357,Amber,Human review,67.3
CLM-001358,Green,Auto-approved,1.1
CLM-001359,Green,Auto-approved,3.1
CLM-001360,Green,Auto-approved,2.4
CLM-001361,Amber,Human review,68.2
CLM-001362,Amber,Human review,80.7
CLM-001363,Green,Auto-approved,2.6
CLM-001364,Green,Auto-approved,2.2
CLM-001365,Amber,Human review,89.3
CLM-001366,Amber,Human review,90.6
CLM-001367,Green,Auto-approved,1.2
CLM-001368,Green,Auto-approved,2.6
CLM-001369,Green,Auto-approved,3.1
CLM-001370,Green,Auto-approved,2.3
CLM-001371,Amber,Human review,31.6
CLM-001372,Green,Auto-approved,3.3
CLM-001373,Amber,Human review,59.0
CLM-001374,Green,Auto-approved,3.1
CLM-001375,Green,Auto-approved,2.6
CLM-001376,Red,SIU referral,437.4
CLM-001377,Green,Auto-approved,1.5
CLM-001378,Green,Auto-approved,1.4
CLM-001379,Green,Auto-approved,3.3
CLM-001380,Green,Auto-approved,2.2
CLM-001381,Amber,Human review,75.0
CLM-001382,Green,Auto-approved,2.2
CLM-001383,Amber,Human review,58.1
CLM-001384,Green,Auto-approved,0.7
CLM-001385,Green,Auto-approved,2.8
CLM-001386,Amber,Human review,40.2
CLM-001387,Amber,Human review,31.3
CLM-001388,Amber,Human review,80.2
CLM-001389,Green,Auto-approved,3.2
CLM-001390,Green,Auto-approved,2.6
CLM-001391,Green,Auto-approved,3.7
CLM-001392,Green,Auto-approved,0.6
CLM-001393,Amber,Human review,37.7
CLM-001394,Red,SIU referral,394.3
CLM-001395,Red,SIU referral,137.0
CLM-001396,Green,Auto-approved,1.7
CLM-001397,Green,Auto-approved,1.9
CLM-001398,Amber,Human review,48.2
CLM-001399,Amber,Human review,72.1
CLM-001400,Green,Auto-approved,2.2
CLM-001401,Green,Auto-approved,2.4
CLM-001402,Green,Auto-approved,3.5
CLM-001403,Amber,Human review,92.3
CLM-001404,Amber,Human review,38.3
CLM-001405,Amber,Human review,44.4
CLM-001406,Amber,Human review,67.9
CLM-001407,Green,Auto-approved,2.6
CLM-001408,Green,Auto-approved,2.6
CLM-001409,Green,Auto-approved,2.1
CLM-001410,Amber,Human review,58.0
CLM-001411,Amber,Human review,52.1
CLM-001412,Green,Auto-approved,1.2
CLM-001413,Red,SIU referral,409.6
CLM-001414,Red,SIU referral,349.2
CLM-001415,Green,Auto-approved,3.0
CLM-001416,Green,Auto-approved,1.7
CLM-001417,Amber,Human review,56.2
CLM-001418,Green,Auto-approved,3.9
CLM-001419,Amber,Human review,90.7
CLM-001420,Green,Auto-approved,1.4
CLM-001421,Green,Auto-approved,2.5
CLM-001422,Green,Auto-approved,2.1
CLM-001423,Amber,Human review,78.4
CLM-001424,Green,Auto-approved,3.8
CLM-001425,Amber,Human review,87.6
CLM-001426,Amber,Human review,87.2
CLM-001427,Amber,Human review,74.4
CLM-001428,Green,Auto-approved,1.5
CLM-001429,Green,Auto-approved,3.5
CLM-001430,Amber,Human review,87.5
CLM-001431,Amber,Human review,88.8
CLM-001432,Amber,Human review,65.8
CLM-001433,Green,Auto-approved,1.3
CLM-001434,Green,Auto-approved,4.0
CLM-001435,Amber,Human review,82.0
CLM-001436,Green,Auto-approved,1.1
CLM-001437,Green,Auto-approved,3.1
CLM-001438,Amber,Human review,34.7
CLM-001439,Green,Auto-approved,3.5
CLM-001440,Green,Auto-approved,3.0
CLM-001441,Amber,Human review,84.1
CLM-001442,Green,Auto-approved,3.6
CLM-001443,Red,SIU referral,227.4
CLM-001444,Green,Auto-approved,3.1
CLM-001445,Amber,Human review,93.0
CLM-001446,Green,Auto-approved,1.0
CLM-001447,Green,Auto-approved,1.8
CLM-001448,Amber,Human review,90.3
CLM-001449,Green,Auto-approved,3.5
CLM-001450,Green,Auto-approved,0.6
CLM-001451,Green,Auto-approved,1.2
CLM-001452,Green,Auto-approved,1.8
CLM-001453,Green,Auto-approved,1.0
CLM-001454,Green,Auto-approved,1.6
CLM-001455,Green,Auto-approved,2.8
CLM-001456,Green,Auto-approved,0.7
CLM-001457,Green,Auto-approved,2.5
CLM-001458,Amber,Human review,76.8
CLM-001459,Amber,Human review,45.0
CLM-001460,Green,Auto-approved,2.6
CLM-001461,Green,Auto-approved,1.7
CLM-001462,Green,Auto-approved,2.9
CLM-001463,Amber,Human review,91.4
CLM-001464,Green,Auto-approved,3.8
CLM-001465,Amber,Human review,46.7
CLM-001466,Green,Auto-approved,2.8
CLM-001467,Amber,Human review,24.4
CLM-001468,Green,Auto-approved,2.7
CLM-001469,Green,Auto-approved,3.0
CLM-001470,Amber,Human review,76.6
CLM-001471,Amber,Human review,95.6
CLM-001472,Red,SIU referral,220.5
CLM-001473,Green,Auto-approved,0.7
CLM-001474,Amber,Human review,53.5
CLM-001475,Amber,Human review,31.2
CLM-001476,Green,Auto-approved,1.8
CLM-001477,Green,Auto-approved,2.3
CLM-001478,Amber,Human review,82.8
CLM-001479,Amber,Human review,68.1
CLM-001480,Amber,Human review,36.4
CLM-001481,Amber,Human review,32.6
CLM-001482,Green,Auto-approved,1.0
CLM-001483,Amber,Human review,60.8
CLM-001484,Green,Auto-approved,0.7
CLM-001485,Amber,Human review,81.7
CLM-001486,Amber,Human review,27.5
CLM-001487,Green,Auto-approved,1.3
CLM-001488,Amber,Human review,46.6
CLM-001489,Amber,Human review,55.6
CLM-001490,Green,Auto-approved,4.0
CLM-001491,Green,Auto-approved,3.9
CLM-001492,Amber,Human review,51.4
CLM-001493,Amber,Human review,65.4
CLM-001494,Amber,Human review,64.3
CLM-001495,Green,Auto-approved,1.1
CLM-001496,Amber,Human review,44.9
CLM-001497,Green,Auto-approved,1.2
CLM-001498,Green,Auto-approved,3.0
CLM-001499,Green,Auto-approved,0.8
CLM-001500,Amber,Human review,62.5
CLM-001501,Green,Auto-approved,1.7
CLM-001502,Red,SIU referral,213.9
CLM-001503,Green,Auto-approved,2.3
CLM-001504,Amber,Human review,52.7
CLM-001505,Green,Auto-approved,0.9
CLM-001506,Amber,Human review,75.2
CLM-001507,Green,Auto-approved,0.8
CLM-001508,Amber,Human review,66.4
CLM-001509,Amber,Human review,25.2
CLM-001510,Amber,Human review,61.1
CLM-001511,Green,Auto-approved,3.2
CLM-001512,Green,Auto-approved,1.8
CLM-001513,Green,Auto-approved,2.2
CLM-001514,Amber,Human review,40.6
CLM-001515,Amber,Human review,89.6
CLM-001516,Green,Auto-approved,3.9
CLM-001517,Green,Auto-approved,3.1
CLM-001518,Green,Auto-approved,2.2
CLM-001519,Green,Auto-approved,0.5
CLM-001520,Green,Auto-approved,2.0
CLM-001521,Green,Auto-approved,2.0
CLM-001522,Red,SIU referral,257.5
CLM-001523,Green,Auto-approved,1.7
CLM-001524,Amber,Human review,35.0
CLM-001525,Green,Auto-approved,1.6
CLM-001526,Amber,Human review,33.2
CLM-001527,Amber,Human review,79.4
CLM-001528,Amber,Human review,95.8
CLM-001529,Green,Auto-approved,3.0
CLM-001530,Green,Auto-approved,2.9
CLM-001531,Green,Auto-approved,2.7
CLM-001532,Red,SIU referral,392.4
CLM-001533,Green,Auto-approved,0.6
CLM-001534,Amber,Human review,50.1
CLM-001535,Amber,Human review,43.3
CLM-001536,Amber,Human review,32.5
CLM-001537,Green,Auto-approved,2.7
CLM-001538,Amber,Human review,39.3
CLM-001539,Green,Auto-approved,2.9
CLM-001540,Amber,Human review,55.3
CLM-001541,Amber,Human review,40.8
CLM-001542,Green,Auto-approved,3.1
CLM-001543,Amber,Human review,34.3
CLM-001544,Amber,Human review,24.3
CLM-001545,Green,Auto-approved,3.1
CLM-001546,Green,Auto-approved,0.5
CLM-001547,Green,Auto-approved,3.5
CLM-001548,Amber,Human review,52.8
CLM-001549,Amber,Human review,53.6
CLM-001550,Green,Auto-approved,3.0
CLM-001551,Amber,Human review,95.2
CLM-001552,Green,Auto-approved,1.4
CLM-001553,Green,Auto-approved,1.7
CLM-001554,Red,SIU referral,151.1
CLM-001555,Amber,Human review,31.3
CLM-001556,Green,Auto-approved,3.9
CLM-001557,Red,SIU referral,240.4
CLM-001558,Amber,Human review,33.2
CLM-001559,Red,SIU referral,311.3
CLM-001560,Green,Auto-approved,0.5
CLM-001561,Green,Auto-approved,2.9
CLM-001562,Amber,Human review,69.4
CLM-001563,Green,Auto-approved,1.6
CLM-001564,Green,Auto-approved,2.7
CLM-001565,Green,Auto-approved,3.7
CLM-001566,Green,Auto-approved,2.2
CLM-001567,Green,Auto-approved,1.9
CLM-001568,Amber,Human review,36.3
CLM-001569,Amber,Human review,53.5
CLM-001570,Green,Auto-approved,2.3
CLM-001571,Amber,Human review,56.0
CLM-001572,Amber,Human review,55.2
CLM-001573,Green,Auto-approved,0.5
CLM-001574,Amber,Human review,33.9
CLM-001575,Green,Auto-approved,3.0
CLM-001576,Amber,Human review,90.1
CLM-001577,Amber,Human review,61.4
CLM-001578,Amber,Human review,60.0
CLM-001579,Amber,Human review,40.1
CLM-001580,Amber,Human review,38.1
CLM-001581,Amber,Human review,35.7
CLM-001582,Green,Auto-approved,1.0
CLM-001583,Green,Auto-approved,2.3
CLM-001584,Green,Auto-approved,3.9
CLM-001585,Green,Auto-approved,1.2
CLM-001586,Amber,Human review,44.3
CLM-001587,Green,Auto-approved,0.6
CLM-001588,Green,Auto-approved,1.8
CLM-001589,Green,Auto-approved,2.8
CLM-001590,Amber,Human review,75.2
CLM-001591,Green,Auto-approved,1.1
CLM-001592,Green,Auto-approved,2.9
CLM-001593,Green,Auto-approved,2.9
CLM-001594,Amber,Human review,90.3
CLM-001595,Green,Auto-approved,0.7
CLM-001596,Green,Auto-approved,0.7
CLM-001597,Green,Auto-approved,3.4
CLM-001598,Green,Auto-approved,0.5
CLM-001599,Amber,Human review,33.7
CLM-001600,Green,Auto-approved,0.5
CLM-001601,Green,Auto-approved,1.3
CLM-001602,Green,Auto-approved,3.6
CLM-001603,Green,Auto-approved,1.3
CLM-001604,Green,Auto-approved,2.8
CLM-001605,Amber,Human review,40.2
CLM-001606,Green,Auto-approved,0.6
CLM-001607,Amber,Human review,65.2
CLM-001608,Green,Auto-approved,3.0
CLM-001609,Green,Auto-approved,2.5
CLM-001610,Green,Auto-approved,3.6
CLM-001611,Amber,Human review,94.0
CLM-001612,Green,Auto-approved,1.5
CLM-001613,Green,Auto-approved,3.6
CLM-001614,Amber,Human review,81.8
CLM-001615,Green,Auto-approved,2.9
CLM-001616,Green,Auto-approved,2.2
CLM-001617,Amber,Human review,86.4
CLM-001618,Red,SIU referral,315.3
CLM-001619,Amber,Human review,61.5
CLM-001620,Green,Auto-approved,1.2
CLM-001621,Amber,Human review,57.4
CLM-001622,Red,SIU referral,325.8
CLM-001623,Green,Auto-approved,3.7
CLM-001624,Green,Auto-approved,3.8
CLM-001625,Green,Auto-approved,3.7
CLM-001626,Green,Auto-approved,3.8
CLM-001627,Green,Auto-approved,3.2
CLM-001628,Amber,Human review,36.5
CLM-001629,Green,Auto-approved,0.7
CLM-001630,Amber,Human review,28.8
CLM-001631,Green,Auto-approved,2.6
CLM-001632,Green,Auto-approved,0.9
CLM-001633,Green,Auto-approved,3.3
CLM-001634,Amber,Human review,40.2
CLM-001635,Amber,Human review,53.8
CLM-001636,Amber,Human review,42.0
CLM-001637,Green,Auto-approved,2.4
CLM-001638,Amber,Human review,83.9
CLM-001639,Green,Auto-approved,3.7
CLM-001640,Green,Auto-approved,2.4
CLM-001641,Amber,Human review,74.7
CLM-001642,Amber,Human review,28.5
CLM-001643,Red,SIU referral,241.2
CLM-001644,Green,Auto-approved,3.8
CLM-001645,Green,Auto-approved,3.5
CLM-001646,Green,Auto-approved,2.6
CLM-001647,Green,Auto-approved,2.2
CLM-001648,Amber,Human review,49.8
CLM-001649,Green,Auto-approved,2.2
CLM-001650,Green,Auto-approved,2.1
CLM-001651,Green,Auto-approved,3.1
CLM-001652,Green,Auto-approved,1.6
CLM-001653,Amber,Human review,45.2
CLM-001654,Red,SIU referral,289.3
CLM-001655,Amber,Human review,91.7
CLM-001656,Amber,Human review,75.6
CLM-001657,Amber,Human review,86.1
CLM-001658,Green,Auto-approved,0.6
CLM-001659,Green,Auto-approved,3.0
CLM-001660,Amber,Human review,24.6
CLM-001661,Amber,Human review,50.0
CLM-001662,Green,Auto-approved,0.6
CLM-001663,Green,Auto-approved,0.9
CLM-001664,Amber,Human review,70.4
CLM-001665,Amber,Human review,40.9
CLM-001666,Red,SIU referral,451.5
CLM-001667,Green,Auto-approved,2.0
CLM-001668,Green,Auto-approved,3.6
CLM-001669,Red,SIU referral,306.8
CLM-001670,Amber,Human review,55.6
CLM-001671,Amber,Human review,93.8
CLM-001672,Green,Auto-approved,3.4
CLM-001673,Amber,Human review,56.8
CLM-001674,Amber,Human review,28.2
CLM-001675,Green,Auto-approved,2.6
CLM-001676,Green,Auto-approved,3.7
CLM-001677,Green,Auto-approved,3.7
CLM-001678,Green,Auto-approved,0.8
CLM-001679,Amber,Human review,86.5
CLM-001680,Amber,Human review,62.6
CLM-001681,Amber,Human review,70.9
CLM-001682,Green,Auto-approved,0.9
CLM-001683,Green,Auto-approved,2.3
CLM-001684,Green,Auto-approved,2.3
CLM-001685,Green,Auto-approved,1.6
CLM-001686,Green,Auto-approved,3.0
CLM-001687,Green,Auto-approved,1.3
CLM-001688,Green,Auto-approved,3.9
CLM-001689,Amber,Human review,69.4
CLM-001690,Amber,Human review,47.7
CLM-001691,Amber,Human review,39.8
CLM-001692,Amber,Human review,62.5
CLM-001693,Green,Auto-approved,3.4
CLM-001694,Green,Auto-approved,3.5
CLM-001695,Amber,Human review,29.0
CLM-001696,Green,Auto-approved,2.5
CLM-001697,Amber,Human review,81.8
CLM-001698,Green,Auto-approved,1.9
CLM-001699,Amber,Human review,88.9
CLM-001700,Amber,Human review,63.0
CLM-001701,Green,Auto-approved,1.4
CLM-001702,Amber,Human review,45.1
CLM-001703,Green,Auto-approved,2.0
CLM-001704,Amber,Human review,73.5
CLM-001705,Amber,Human review,67.3
CLM-001706,Amber,Human review,52.0
CLM-001707,Green,Auto-approved,1.4
CLM-001708,Amber,Human review,54.5
CLM-001709,Green,Auto-approved,0.7
CLM-001710,Amber,Human review,78.1
CLM-001711,Green,Auto-approved,2.7
CLM-001712,Amber,Human review,89.2
CLM-001713,Amber,Human review,67.7
CLM-001714,Amber,Human review,59.4
CLM-001715,Green,Auto-approved,2.4
CLM-001716,Green,Auto-approved,1.7
CLM-001717,Amber,Human review,88.0
CLM-001718,Green,Auto-approved,1.1
CLM-001719,Amber,Human review,51.8
CLM-001720,Green,Auto-approved,3.0
CLM-001721,Green,Auto-approved,3.1
CLM-001722,Green,Auto-approved,3.0
CLM-001723,Amber,Human review,31.2
CLM-001724,Amber,Human review,75.0
CLM-001725,Amber,Human review,71.5
CLM-001726,Green,Auto-approved,3.2
CLM-001727,Amber,Human review,65.2
CLM-001728,Amber,Human review,83.1
CLM-001729,Green,Auto-approved,0.5
CLM-001730,Green,Auto-approved,3.5
CLM-001731,Green,Auto-approved,3.7
CLM-001732,Amber,Human review,37.6
CLM-001733,Green,Auto-approved,2.5
CLM-001734,Green,Auto-approved,2.3
CLM-001735,Green,Auto-approved,2.7
CLM-001736,Amber,Human review,58.3
CLM-001737,Red,SIU referral,279.7
CLM-001738,Green,Auto-approved,3.5
CLM-001739,Green,Auto-approved,2.3
CLM-001740,Amber,Human review,86.8
CLM-001741,Green,Auto-approved,1.3
CLM-001742,Green,Auto-approved,2.2
CLM-001743,Amber,Human review,60.7
CLM-001744,Green,Auto-approved,3.2
CLM-001745,Green,Auto-approved,3.1
CLM-001746,Green,Auto-approved,3.5
CLM-001747,Red,SIU referral,265.5
CLM-001748,Green,Auto-approved,2.8
CLM-001749,Green,Auto-approved,3.9
CLM-001750,Green,Auto-approved,2.6
CLM-001751,Amber,Human review,74.0
CLM-001752,Red,SIU referral,402.5
CLM-001753,Amber,Human review,61.0
CLM-001754,Amber,Human review,61.0
CLM-001755,Green,Auto-approved,1.8
CLM-001756,Green,Auto-approved,0.9
CLM-001757,Green,Auto-approved,0.9
CLM-001758,Green,Auto-approved,3.6
CLM-001759,Green,Auto-approved,1.8
CLM-001760,Amber,Human review,88.3
CLM-001761,Red,SIU referral,471.5
CLM-001762,Amber,Human review,88.5
CLM-001763,Green,Auto-approved,3.3
CLM-001764,Green,Auto-approved,0.5
CLM-001765,Amber,Human review,48.2
CLM-001766,Amber,Human review,37.7
CLM-001767,Amber,Human review,33.0
CLM-001768,Green,Auto-approved,1.0
CLM-001769,Green,Auto-approved,2.9
CLM-001770,Amber,Human review,38.8
CLM-001771,Green,Auto-approved,1.8
CLM-001772,Amber,Human review,67.0
CLM-001773,Green,Auto-approved,3.0
CLM-001774,Amber,Human review,89.0
CLM-001775,Green,Auto-approved,2.2
CLM-001776,Red,SIU referral,352.3
CLM-001777,Amber,Human review,73.4
CLM-001778,Red,SIU referral,277.2
CLM-001779,Amber,Human review,76.3
CLM-001780,Green,Auto-approved,3.2
CLM-001781,Green,Auto-approved,0.7
CLM-001782,Green,Auto-approved,3.5
CLM-001783,Amber,Human review,47.2
CLM-001784,Green,Auto-approved,1.2
CLM-001785,Amber,Human review,72.0
CLM-001786,Green,Auto-approved,2.3
CLM-001787,Green,Auto-approved,3.6
CLM-001788,Red,SIU referral,255.4
CLM-001789,Amber,Human review,41.0
CLM-001790,Amber,Human review,37.4
CLM-001791,Amber,Human review,33.7
CLM-001792,Amber,Human review,88.3
CLM-001793,Amber,Human review,24.5
CLM-001794,Green,Auto-approved,3.9
CLM-001795,Green,Auto-approved,1.2
CLM-001796,Green,Auto-approved,1.9
CLM-001797,Green,Auto-approved,2.5
CLM-001798,Green,Auto-approved,2.7
CLM-001799,Amber,Human review,86.3
CLM-001800,Amber,Human review,85.5
CLM-001801,Amber,Human review,47.0
CLM-001802,Amber,Human review,57.7
CLM-001803,Red,SIU referral,278.4
CLM-001804,Amber,Human review,77.6
CLM-001805,Green,Auto-approved,1.9
CLM-001806,Green,Auto-approved,1.8
CLM-001807,Green,Auto-approved,2.7
CLM-001808,Amber,Human review,87.2
CLM-001809,Green,Auto-approved,2.6
CLM-001810,Green,Auto-approved,0.6
CLM-001811,Amber,Human review,50.5
CLM-001812,Green,Auto-approved,3.9
CLM-001813,Amber,Human review,51.8
CLM-001814,Green,Auto-approved,4.0
CLM-001815,Red,SIU referral,433.1
CLM-001816,Amber,Human review,59.0
CLM-001817,Amber,Human review,46.9
CLM-001818,Green,Auto-approved,4.0
CLM-001819,Amber,Human review,49.5
CLM-001820,Green,Auto-approved,0.9
CLM-001821,Amber,Human review,29.3
CLM-001822,Green,Auto-approved,1.2
CLM-001823,Red,SIU referral,475.0
CLM-001824,Amber,Human review,27.6
CLM-001825,Green,Auto-approved,2.1
CLM-001826,Green,Auto-approved,3.7
CLM-001827,Amber,Human review,84.4
CLM-001828,Amber,Human review,45.1
CLM-001829,Green,Auto-approved,1.8
CLM-001830,Green,Auto-approved,2.6
CLM-001831,Green,Auto-approved,1.0
CLM-001832,Green,Auto-approved,2.2
CLM-001833,Green,Auto-approved,3.2
CLM-001834,Green,Auto-approved,1.2
CLM-001835,Green,Auto-approved,3.1
CLM-001836,Green,Auto-approved,2.6
CLM-001837,Green,Auto-approved,1.3
CLM-001838,Green,Auto-approved,3.2
CLM-001839,Amber,Human review,74.3
CLM-001840,Amber,Human review,73.3
CLM-001841,Amber,Human review,82.4
CLM-001842,Amber,Human review,76.7
CLM-001843,Amber,Human review,72.6
CLM-001844,Green,Auto-approved,2.9
CLM-001845,Green,Auto-approved,0.8
CLM-001846,Amber,Human review,78.8
CLM-001847,Amber,Human review,64.2
CLM-001848,Amber,Human review,75.9
CLM-001849,Green,Auto-approved,2.4
CLM-001850,Amber,Human review,87.3
CLM-001851,Amber,Human review,71.1
CLM-001852,Amber,Human review,95.3
CLM-001853,Green,Auto-approved,1.7
CLM-001854,Green,Auto-approved,2.3
CLM-001855,Amber,Human review,24.0
CLM-001856,Amber,Human review,51.8
CLM-001857,Amber,Human review,89.5
CLM-001858,Green,Auto-approved,3.5
CLM-001859,Amber,Human review,31.8
CLM-001860,Amber,Human review,69.4
CLM-001861,Amber,Human review,49.1
CLM-001862,Amber,Human review,76.0
CLM-001863,Green,Auto-approved,2.4
CLM-001864,Green,Auto-approved,2.8
CLM-001865,Green,Auto-approved,2.6
CLM-001866,Green,Auto-approved,3.6
CLM-001867,Green,Auto-approved,3.3
CLM-001868,Amber,Human review,81.6
CLM-001869,Green,Auto-approved,0.7
CLM-001870,Red,SIU referral,449.4
CLM-001871,Green,Auto-approved,1.4
CLM-001872,Amber,Human review,32.1
CLM-001873,Green,Auto-approved,2.9
CLM-001874,Green,Auto-approved,1.3
CLM-001875,Amber,Human review,39.2
CLM-001876,Amber,Human review,93.8
CLM-001877,Green,Auto-approved,3.9
CLM-001878,Green,Auto-approved,3.6
CLM-001879,Amber,Human review,33.5
CLM-001880,Amber,Human review,54.2
CLM-001881,Green,Auto-approved,4.0
CLM-001882,Amber,Human review,80.3
CLM-001883,Amber,Human review,73.7
CLM-001884,Green,Auto-approved,1.8
CLM-001885,Red,SIU referral,99.6
CLM-001886,Green,Auto-approved,3.4
CLM-001887,Green,Auto-approved,3.5
CLM-001888,Amber,Human review,73.9
CLM-001889,Green,Auto-approved,2.4
CLM-001890,Amber,Human review,91.9
CLM-001891,Amber,Human review,66.7
CLM-001892,Red,SIU referral,473.0
CLM-001893,Green,Auto-approved,0.9
CLM-001894,Green,Auto-approved,3.7
CLM-001895,Amber,Human review,82.3
CLM-001896,Green,Auto-approved,1.9
CLM-001897,Green,Auto-approved,3.0
CLM-001898,Green,Auto-approved,3.9
CLM-001899,Green,Auto-approved,3.6
CLM-001900,Green,Auto-approved,1.8
CLM-001901,Amber,Human review,61.7
CLM-001902,Amber,Human review,33.4
CLM-001903,Amber,Human review,29.0
CLM-001904,Amber,Human review,75.1
CLM-001905,Amber,Human review,43.5
CLM-001906,Green,Auto-approved,1.5
CLM-001907,Green,Auto-approved,4.0
CLM-001908,Green,Auto-approved,1.2
CLM-001909,Amber,Human review,65.1
CLM-001910,Amber,Human review,28.6
CLM-001911,Amber,Human review,66.5
CLM-001912,Green,Auto-approved,0.9
CLM-001913,Amber,Human review,50.6
CLM-001914,Green,Auto-approved,1.1
CLM-001915,Green,Auto-approved,1.5
CLM-001916,Amber,Human review,33.9
CLM-001917,Green,Auto-approved,3.9
CLM-001918,Amber,Human review,60.9
CLM-001919,Green,Auto-approved,2.4
CLM-001920,Green,Auto-approved,2.0
CLM-001921,Amber,Human review,30.6
CLM-001922,Green,Auto-approved,0.6
CLM-001923,Green,Auto-approved,1.8
CLM-001924,Red,SIU referral,335.8
CLM-001925,Amber,Human review,74.4
CLM-001926,Green,Auto-approved,1.6
CLM-001927,Green,Auto-approved,1.0
CLM-001928,Green,Auto-approved,2.8
CLM-001929,Amber,Human review,39.5
CLM-001930,Green,Auto-approved,2.4
CLM-001931,Red,SIU referral,165.8
CLM-001932,Red,SIU referral,196.9
CLM-001933,Green,Auto-approved,4.0
CLM-001934,Amber,Human review,54.4
CLM-001935,Green,Auto-approved,3.4
CLM-001936,Amber,Human review,32.4
CLM-001937,Green,Auto-approved,3.9
CLM-001938,Green,Auto-approved,2.8
CLM-001939,Red,SIU referral,315.7
CLM-001940,Amber,Human review,41.9
CLM-001941,Red,SIU referral,134.6
CLM-001942,Green,Auto-approved,4.0
CLM-001943,Red,SIU referral,303.9
CLM-001944,Green,Auto-approved,2.6
CLM-001945,Amber,Human review,41.1
CLM-001946,Amber,Human review,62.1
CLM-001947,Amber,Human review,95.2
CLM-001948,Green,Auto-approved,3.9
CLM-001949,Green,Auto-approved,0.5
CLM-001950,Red,SIU referral,165.8
CLM-001951,Green,Auto-approved,3.6
CLM-001952,Amber,Human review,72.2
CLM-001953,Green,Auto-approved,0.7
CLM-001954,Green,Auto-approved,3.4
CLM-001955,Amber,Human review,68.4
CLM-001956,Red,SIU referral,315.4
CLM-001957,Green,Auto-approved,1.8
CLM-001958,Amber,Human review,76.7
CLM-001959,Green,Auto-approved,0.8
CLM-001960,Amber,Human review,54.1
CLM-001961,Green,Auto-approved,0.9
CLM-001962,Amber,Human review,46.8
CLM-001963,Green,Auto-approved,3.0
CLM-001964,Amber,Human review,65.7
CLM-001965,Green,Auto-approved,1.0
CLM-001966,Amber,Human review,51.7
CLM-001967,Amber,Human review,35.6
CLM-001968,Green,Auto-approved,1.3
CLM-001969,Amber,Human review,38.1
CLM-001970,Green,Auto-approved,3.6
CLM-001971,Amber,Human review,28.3
CLM-001972,Amber,Human review,85.8
CLM-001973,Green,Auto-approved,2.6
CLM-001974,Amber,Human review,85.4
CLM-001975,Green,Auto-approved,2.9
CLM-001976,Amber,Human review,76.9
CLM-001977,Green,Auto-approved,3.5
CLM-001978,Green,Auto-approved,2.8
CLM-001979,Green,Auto-approved,0.6
CLM-001980,Green,Auto-approved,0.7
CLM-001981,Red,SIU referral,118.5
CLM-001982,Amber,Human review,81.7
CLM-001983,Green,Auto-approved,1.8
CLM-001984,Amber,Human review,86.3
CLM-001985,Green,Auto-approved,0.9
CLM-001986,Green,Auto-approved,3.7
CLM-001987,Green,Auto-approved,1.7
CLM-001988,Green,Auto-approved,3.6
CLM-001989,Green,Auto-approved,2.4
CLM-001990,Green,Auto-approved,1.3
CLM-001991,Green,Auto-approved,2.7
CLM-001992,Green,Auto-approved,1.9
CLM-001993,Green,Auto-approved,3.3
CLM-001994,Green,Auto-approved,1.6
